age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,purchase
69,retired,divorced,secondary,1819,yes,no,telephone,21,jun,2774,26,4,nonexistent,no
32,housemaid,divorced,unknown,28286,yes,yes,telephone,14,may,952,8,0,success,yes
89,management,married,secondary,9164,yes,yes,telephone,9,mar,3562,43,9,nonexistent,no
78,technician,divorced,primary,30701,no,yes,cellular,13,jan,3426,26,6,nonexistent,no
38,management,divorced,unknown,14475,yes,no,cellular,6,jun,1408,38,1,success,no
92,entrepreneur,divorced,primary,47759,yes,yes,telephone,22,oct,3137,21,2,failure,no
92,retired,married,unknown,40211,no,no,cellular,1,may,1092,17,4,nonexistent,no
41,retired,divorced,primary,47437,no,no,cellular,1,aug,3481,30,8,failure,no
20,housemaid,single,secondary,17305,yes,no,telephone,4,jan,1976,43,9,nonexistent,no
39,services,single,tertiary,9498,yes,yes,cellular,14,oct,751,38,3,nonexistent,no
70,entrepreneur,divorced,tertiary,30869,no,yes,telephone,18,jan,3171,44,7,nonexistent,no
19,blue-collar,single,unknown,34603,no,no,cellular,16,jul,2111,12,7,nonexistent,yes
47,technician,married,secondary,2235,no,no,telephone,3,aug,2820,31,9,failure,no
55,technician,divorced,primary,43890,yes,no,telephone,27,oct,1592,44,3,failure,yes
19,student,married,unknown,10015,no,no,cellular,6,dec,3005,37,3,success,no
81,unemployed,single,unknown,12601,yes,yes,telephone,26,jan,2715,38,1,failure,no
77,housemaid,single,primary,5509,no,yes,telephone,29,sep,2266,47,7,failure,no
38,student,single,primary,37484,yes,no,telephone,1,jul,3127,7,0,success,no
50,blue-collar,single,primary,14918,yes,yes,telephone,11,jul,2175,7,4,success,no
93,retired,married,secondary,38975,no,yes,cellular,28,aug,226,35,7,nonexistent,no
75,admin.,divorced,tertiary,39520,no,yes,telephone,29,aug,2691,27,5,success,no
39,blue-collar,married,unknown,33693,yes,yes,cellular,28,jan,1187,26,9,failure,yes
66,blue-collar,divorced,unknown,24959,no,no,cellular,27,apr,3593,40,3,success,no
76,services,single,tertiary,-1091,yes,yes,cellular,10,nov,3611,43,8,nonexistent,no
59,services,single,unknown,7605,yes,no,telephone,18,sep,1338,19,2,failure,yes
77,services,single,secondary,12505,no,yes,cellular,4,mar,3274,22,8,nonexistent,no
32,services,single,primary,35776,yes,no,telephone,6,jun,887,1,0,failure,no
79,unemployed,married,tertiary,-1882,no,no,telephone,29,apr,1936,34,3,success,no
79,housemaid,divorced,secondary,26638,yes,yes,telephone,19,jan,1191,32,9,success,no
64,technician,divorced,primary,1113,yes,yes,cellular,9,mar,1642,29,2,success,no
79,housemaid,single,tertiary,42020,no,yes,telephone,10,mar,2210,22,1,success,no
68,housemaid,married,secondary,36921,yes,yes,cellular,20,mar,802,20,3,success,no
72,technician,single,tertiary,12765,yes,no,telephone,23,nov,932,28,3,failure,no
81,services,divorced,tertiary,15875,yes,no,telephone,27,jun,44,45,8,nonexistent,no
20,housemaid,divorced,secondary,16480,no,yes,cellular,5,sep,2164,28,9,nonexistent,no
68,unemployed,married,unknown,5944,no,no,telephone,22,jul,1371,8,5,nonexistent,no
24,services,divorced,secondary,33022,yes,no,telephone,25,jul,2946,47,5,nonexistent,yes
38,unemployed,married,tertiary,46806,yes,yes,cellular,16,jan,3495,21,5,success,yes
90,student,single,tertiary,23089,yes,yes,cellular,25,sep,2327,18,5,nonexistent,no
56,housemaid,single,secondary,46707,no,no,cellular,22,apr,1708,42,7,nonexistent,no
35,management,married,primary,30563,yes,yes,cellular,2,aug,1579,15,3,failure,no
21,unemployed,single,primary,-767,yes,yes,cellular,9,dec,2968,10,0,failure,no
77,student,married,primary,19642,no,no,telephone,11,jan,3600,27,2,success,no
31,entrepreneur,single,primary,26708,no,no,telephone,2,aug,2966,18,7,failure,no
26,entrepreneur,single,secondary,28937,yes,yes,cellular,18,sep,2797,20,0,success,no
70,student,divorced,unknown,36399,no,no,cellular,2,may,2481,38,4,nonexistent,yes
19,retired,divorced,primary,45283,yes,no,telephone,14,jul,2245,33,1,nonexistent,yes
77,retired,married,tertiary,-1871,no,yes,cellular,23,nov,2558,46,9,success,no
88,services,single,primary,34484,no,no,telephone,27,oct,2859,30,3,nonexistent,yes
61,retired,single,unknown,16155,no,yes,cellular,4,feb,278,3,2,success,no
25,entrepreneur,single,secondary,18838,no,yes,telephone,8,jan,2317,1,0,failure,no
64,retired,divorced,unknown,21154,yes,no,telephone,8,dec,1942,10,4,failure,no
